tempmax,tempmin,temp,humidity,tempwet,precip(Rainfall),windspeed,cloudcover,visibility,conditions,Weather,description
32.1,26,28.2,88,26.5,51.1,25.9,32.1,9.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
33,26,28.9,85.5,26.8,9.1,22.3,31.6,9.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
33.3,25,29.3,86.7,27.4,23.8,22.3,27.8,9.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
33,25,28.2,89.3,26.7,8.9,22.3,32.8,8.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
33.1,27,29.3,85.8,27.3,17.8,18.4,20.7,9.2,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
35,28,31,80.4,28,2,20.5,19.7,9.8,Rain,Rainy,Clear conditions throughout the day with rain.
37,28,32.6,69,27.7,0.1,16.6,0,10,Clear,Sunny,Clear conditions throughout the day.
38,28,33.8,63.1,27.7,0,20.5,0.5,10,Clear,Sunny,Clear conditions throughout the day.
39.5,30.2,34.8,58.4,27.7,0,31.5,0.1,10,Clear,Sunny,Clear conditions throughout the day.
39,29,34.7,58.9,27.6,0,16.6,1.8,9.9,Clear,Sunny,Clear conditions throughout the day.
38,26,33.2,70,28.2,0.6,27.7,29.6,9.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with late afternoon rain.
36,26,29.8,77.6,26.4,0.6,24.1,43,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with late afternoon rain.
31,26,29,82.1,26.4,1.7,13,52.5,7.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with late afternoon rain.
34,26,29.3,79.3,26.2,3.4,18.4,71.1,9.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain clearing later.
35,25,30,78.3,26.6,0,20.5,37.8,9.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
36,27,31.4,74.9,27.4,0.1,22.3,32.5,8.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
37.7,27,31.6,69.2,26.6,2,22.3,14.7,20.4,Rain,Rainy,Clear conditions throughout the day with strong storms possible.
